Athlete,Country,Year,Sport,Gold,Silver,Bronze,Total
Hugues Obry,France,2000,Fencing,0,2,0,2
Laura Bechtolsheimer,Great Britain,2012,Equestrian,1,0,1,2
Charlotte Dujardin,Great Britain,2012,Equestrian,2,0,0,2
Chantelle Michell-Newbery,Australia,2004,Diving,1,0,1,2
Grégory Baugé,France,2012,Cycling,0,2,0,2
Ed Clancy,Great Britain,2012,Cycling,1,0,1,2
Fabian Cancellara,Switzerland,2008,Cycling,1,1,0,2
Hayden Roulston,New Zealand,2008,Cycling,0,1,1,2
Björn Lind,Sweden,2006,Cross Country Skiing,2,0,0,2
Roman Petrushenko,Belarus,2008,Canoeing,1,0,1,2
Kevin Kuske,Germany,2006,Bobsleigh,2,0,0,2
Raphaël Poirée,France,2002,Biathlon,0,1,1,2
Liv Grete Skjelbreid-Poirée,Norway,2002,Biathlon,0,2,0,2
Lee Hyo-Jeong,South Korea,2008,Badminton,1,1,0,2
Tirunesh Dibaba,Ethiopia,2012,Athletics,1,0,1,2
Sanya Richards-Ross,United States,2012,Athletics,2,0,0,2
Lorraine Graham,Jamaica,2000,Athletics,0,2,0,2
Benjamin Raich,Austria,2006,Alpine Skiing,2,0,0,2
Zhang Juanjuan,China,2008,Archery,1,1,0,2
Jaime Espinal,Puerto Rico,2012,Wrestling,0,1,0,1
Johan Eurén,Sweden,2012,Wrestling,0,0,1,1
Heiki Nabi,Estonia,2012,Wrestling,0,1,0,1
Yuliya Ratkeviç,Azerbaijan,2012,Wrestling,0,0,1,1
Manuchar Tskhadaia,Georgia,2012,Wrestling,0,0,1,1
Shinichi Yumoto,Japan,2012,Wrestling,0,0,1,1
Vasyl Fedoryshyn,Ukraine,2008,Wrestling,0,1,0,1
Carol Huynh,Canada,2008,Wrestling,1,0,0,1
Park Eun-Chul,South Korea,2008,Wrestling,0,0,1,1
Adam Wheeler,United States,2008,Wrestling,0,0,1,1
Lise Golliot-Legrand,France,2004,Wrestling,0,0,1,1
Kenji Inoue,Japan,2004,Wrestling,0,0,1,1
Atryom Kyuregyan,Greece,2004,Wrestling,0,0,1,1
Aydin Polatçi,Turkey,2004,Wrestling,0,0,1,1
Tonya Verbeek,Canada,2004,Wrestling,0,1,0,1
Filiberto Azcuy,Cuba,2000,Wrestling,1,0,0,1
Adem Bereket,Turkey,2000,Wrestling,0,0,1,1
Kim In-Seop,South Korea,2000,Wrestling,0,1,0,1
Sheng Zetian,China,2000,Wrestling,0,0,1,1
Sim Gwon-Ho,South Korea,2000,Wrestling,1,0,0,1
Mukhran Vakht'angadze,Georgia,2000,Wrestling,0,0,1,1
Bartlomiej Bonk,Poland,2012,Weightlifting,0,0,1,1
Christine Girard,Canada,2012,Weightlifting,0,0,1,1
Vencelas Dabaya,France,2008,Weightlifting,0,1,0,1
Li Hongli,China,2008,Weightlifting,0,1,0,1
Diego Fernando Salazar,Colombia,2008,Weightlifting,0,1,0,1
Viktor Mitrou,Greece,2000,Weightlifting,0,1,0,1
Halil Mutlu,Turkey,2000,Weightlifting,1,0,0,1
Valentina Popova,Russia,2000,Weightlifting,0,1,0,1
Victoria Brown,Australia,2012,Waterpolo,0,0,1,1
Valentino Gallo,Italy,2012,Waterpolo,0,1,0,1
Jane Moran,Australia,2012,Waterpolo,0,0,1,1
Duško Pijetlovic,Serbia,2012,Waterpolo,0,0,1,1
Nikola Raden,Serbia,2012,Waterpolo,0,0,1,1
Elsie Windes,United States,2012,Waterpolo,1,0,0,1
Brandon Brooks,United States,2008,Waterpolo,0,1,0,1
Simone Koot,Netherlands,2008,Waterpolo,1,0,0,1
Mel Rippon,Australia,2008,Waterpolo,0,0,1,1
Roman Balashov,Russia,2004,Waterpolo,0,0,1,1
István Gergely,Hungary,2004,Waterpolo,1,0,0,1
Danilo Ikodinovic,Serbia and Montenegro,2004,Waterpolo,0,1,0,1
Tonia Moraiti,Greece,2004,Waterpolo,0,1,0,1
Cinzia Ragusa,Italy,2004,Waterpolo,1,0,0,1
Denis Šefik,Serbia and Montenegro,2004,Waterpolo,0,1,0,1
Bridgette Gusterson,Australia,2000,Waterpolo,1,0,0,1
Simone Hankin,Australia,2000,Waterpolo,1,0,0,1
Nikolay Maksimov,Russia,2000,Waterpolo,0,1,0,1
Heather Moody,United States,2000,Waterpolo,0,1,0,1
Tatyana Petrova,Russia,2000,Waterpolo,0,0,1,1
Julie Swail-Ertel,United States,2000,Waterpolo,0,1,0,1
Petar Trbojevic,Serbia and Montenegro,2000,Waterpolo,0,0,1,1
Vlada Vujasinovic,Serbia and Montenegro,2000,Waterpolo,0,0,1,1
Aleksandr Yeryshov,Russia,2000,Waterpolo,0,1,0,1
Erika Araki,Japan,2012,Volleyball,0,0,1,1
Fabiana,Brazil,2012,Volleyball,1,0,0,1
Sergey Grankin,Russia,2012,Volleyball,1,0,0,1
Dani Lins,Brazil,2012,Volleyball,1,0,0,1
Courtney Thompson,United States,2012,Volleyball,0,1,0,1
Aleksandr Volkov,Russia,2012,Volleyball,1,0,0,1
Dante,Brazil,2008,Volleyball,0,1,0,1
Aleksandr Korneyev,Russia,2008,Volleyball,0,0,1,1
Li Juan,China,2008,Volleyball,0,0,1,1
Liu Yanan,China,2008,Volleyball,0,0,1,1
Murilo,Brazil,2008,Volleyball,0,1,0,1
Semyon Poltavsky,Russia,2008,Volleyball,0,0,1,1
Logan Tom,United States,2008,Volleyball,0,1,0,1
Kim Willoughby,United States,2008,Volleyball,0,1,0,1
Giba,Brazil,2004,Volleyball,1,0,0,1
Mayvelis Martínez,Cuba,2004,Volleyball,0,0,1,1
Ventzislav Simeonov,Italy,2004,Volleyball,0,1,0,1
Marlenis Costa,Cuba,2000,Volleyball,1,0,0,1
Ana Ivis Fernández,Cuba,2000,Volleyball,1,0,0,1
Tatyana Gracheva,Russia,2000,Volleyball,0,1,0,1
Nikola Grbic,Serbia and Montenegro,2000,Volleyball,1,0,0,1
Janina,Brazil,2000,Volleyball,0,0,1,1
Kátia,Brazil,2000,Volleyball,0,0,1,1
Marco Meoni,Italy,2000,Volleyball,0,0,1,1
Vasa Mijic,Serbia and Montenegro,2000,Volleyball,1,0,0,1
Nataliya Morozova,Russia,2000,Volleyball,0,1,0,1
Samuele Papi,Italy,2000,Volleyball,0,0,1,1
Igor Shulepov,Russia,2000,Volleyball,0,1,0,1
Goran Vujevic,Serbia and Montenegro,2000,Volleyball,1,0,0,1
Sayaka Hirano,Japan,2012,Table Tennis,0,1,0,1
Timo Boll,Germany,2008,Table Tennis,0,1,0,1
Dang Ye-Seo,South Korea,2008,Table Tennis,0,0,1,1
Li Jia Wei,Singapore,2008,Table Tennis,0,1,0,1
Kim Gyeong-A,South Korea,2004,Table Tennis,0,0,1,1
Lee Eun-Sil,South Korea,2004,Table Tennis,0,1,0,1
Seog Eun-Mi,South Korea,2004,Table Tennis,0,1,0,1
Erin Densham,Australia,2012,Triathlon,0,0,1,1
Lisa Nordén,Sweden,2012,Triathlon,0,1,0,1
Jan Frodeno,Germany,2008,Triathlon,1,0,0,1
Emma Snowsill,Australia,2008,Triathlon,1,0,0,1
Bevan Docherty,New Zealand,2004,Triathlon,0,1,0,1
Huang Chih-Hsiung,Chinese Taipei,2004,Taekwondo,0,1,0,1
Mun Dae-Seong,South Korea,2004,Taekwondo,1,0,0,1
Elli Mystakidou,Greece,2004,Taekwondo,0,1,0,1
Gabriel Esparza,Spain,2000,Taekwondo,0,1,0,1
Pascal Gentil,France,2000,Taekwondo,0,0,1,1
Lucie Hradecká,Czech Republic,2012,Tennis,0,1,0,1
Jo-Wilfried Tsonga,France,2012,Tennis,0,1,0,1
Roger Federer,Switzerland,2008,Tennis,1,0,0,1
Nicolas Kiefer,Germany,2004,Tennis,0,1,0,1
Sébastien Lareau,Canada,2000,Tennis,1,0,0,1
Dominique Van Roost,Belgium,2000,Tennis,0,0,1,1
Raquel Corral,Spain,2008,Synchronized Swimming,0,1,0,1
Gu Beibei,China,2008,Synchronized Swimming,0,0,1,1
Elvira Khasyanova,Russia,2008,Synchronized Swimming,1,0,0,1
Tammy Crow,United States,2004,Synchronized Swimming,0,0,1,1
Yelena Azarova,Russia,2000,Synchronized Swimming,1,0,0,1
Takuro Fujii,Japan,2012,Swimming,0,1,0,1
Libby Lenton-Trickett,Australia,2012,Swimming,1,0,0,1
Hayden Stoeckel,Australia,2012,Swimming,0,0,1,1
Fréd Bousquet,France,2008,Swimming,0,1,0,1
Brendan Hansen,United States,2008,Swimming,1,0,0,1
Maarten van der Weijden,Netherlands,2008,Swimming,1,0,0,1
Erik Vendt,United States,2008,Swimming,1,0,0,1
Tarnee White,Australia,2008,Swimming,1,0,0,1
Michael Klim,Australia,2004,Swimming,0,1,0,1
Annabel Kosten,Netherlands,2004,Swimming,0,0,1,1
Antony Matkovich,Australia,2004,Swimming,0,1,0,1
Steve Parry,Great Britain,2004,Swimming,0,0,1,1
Thomas Rupprath,Germany,2004,Swimming,0,1,0,1
Sarah Ryan,Australia,2004,Swimming,1,0,0,1
Mitja Zastrow,Netherlands,2004,Swimming,0,1,0,1
B. J. Bedford,United States,2000,Swimming,1,0,0,1
Gustavo Borges,Brazil,2000,Swimming,0,0,1,1
Chris Fydler,Australia,2000,Swimming,1,0,0,1
Kieren Perkins,Australia,2000,Swimming,0,1,0,1
Travis Jayner,United States,2010,Short-Track Speed Skating,0,0,1,1
Jonathan Guilmette,Canada,2006,Short-Track Speed Skating,0,1,0,1
Simon Kuipers,Netherlands,2010,Speed Skating,0,0,1,1
Keiichiro Nagashima,Japan,2010,Speed Skating,0,1,0,1
Casey FitzRandolph,United States,2002,Speed Skating,1,0,0,1
Hiroyasu Shimizu,Japan,2002,Speed Skating,0,1,0,1
Lasse Sætre,Norway,2002,Speed Skating,0,0,1,1
Jennie Finch,United States,2008,Softball,0,1,0,1
Tairia Flowers,United States,2008,Softball,0,1,0,1
Motoko Fujimoto,Japan,2008,Softball,1,0,0,1
Megu Hirose,Japan,2008,Softball,1,0,0,1
Jessica Mendoza,United States,2008,Softball,0,1,0,1
Rie Sato,Japan,2008,Softball,1,0,0,1
Danielle Stewart,Australia,2008,Softball,0,0,1,1
Belinda Wright,Australia,2008,Softball,0,0,1,1
Fiona Hanes-Crawford,Australia,2004,Softball,0,1,0,1
Simmone Morrow,Australia,2004,Softball,0,1,0,1
Juri Takayama,Japan,2004,Softball,0,0,1,1
Jennifer Brundage,United States,2000,Softball,1,0,0,1
Michelle Venturella,United States,2000,Softball,1,0,0,1
Olivia Nobs,Switzerland,2010,Snowboarding,0,0,1,1
Simon Schoch,Switzerland,2006,Snowboarding,0,1,0,1
Anders Bardal,Norway,2010,Ski Jumping,0,0,1,1
Amy Williams,Great Britain,2010,Skeleton,1,0,0,1
Danka Barteková,Slovakia,2012,Shooting,0,0,1,1
Kim Jong-Hyeon,South Korea,2012,Shooting,0,1,0,1
Christine Brinker-Wenzel,Germany,2008,Shooting,0,0,1,1
Matt Emmons,United States,2008,Shooting,0,1,0,1
Kim Jong-Su,North Korea,2004,Shooting,0,0,1,1
Iulian Raicea,Romania,2000,Shooting,0,0,1,1
Silja Kanerva,Finland,2012,Sailing,0,0,1,1
Jonathan Lobert,France,2012,Sailing,0,0,1,1
Angela Pumariega,Spain,2012,Sailing,1,0,0,1
Tom Slingsby,Australia,2012,Sailing,1,0,0,1
Lobke Berkhout,Netherlands,2008,Sailing,0,1,0,1
Nicolas Charbonnier,France,2008,Sailing,0,0,1,1
Anders Ekström,Sweden,2008,Sailing,0,0,1,1
Fernanda Oliveira,Brazil,2008,Sailing,0,0,1,1
Jan Peter Peckolt,Germany,2008,Sailing,0,0,1,1
Ben Ainslie,Great Britain,2004,Sailing,1,0,0,1
Xavier Fernández,Spain,2004,Sailing,1,0,0,1
Iker Martínez,Spain,2004,Sailing,1,0,0,1
Nick Rogers,Great Britain,2004,Sailing,0,1,0,1
Sarah Webb,Great Britain,2004,Sailing,1,0,0,1
Simon Hiscocks,Great Britain,2000,Sailing,0,1,0,1
Tom King,Australia,2000,Sailing,1,0,0,1
Robert Scheidt,Brazil,2000,Sailing,0,1,0,1
Chantal Achterberg,Netherlands,2012,Rowing,0,0,1,1
Claudia Belderbos,Netherlands,2012,Rowing,0,0,1,1
Carline Bouw,Netherlands,2012,Rowing,0,0,1,1
Richard Chambers,Great Britain,2012,Rowing,0,1,0,1
Natalie Dell,United States,2012,Rowing,0,0,1,1
Fie Udby Erichsen,Denmark,2012,Rowing,0,1,0,1
Morten Jørgensen,Denmark,2012,Rowing,0,0,1,1
Esther Lofgren,United States,2012,Rowing,1,0,0,1
Julia Michalska,Poland,2012,Rowing,0,0,1,1
Heather Stanning,Great Britain,2012,Rowing,1,0,0,1
Annekatrin Thiele,Germany,2012,Rowing,0,1,0,1
Storm Uru,New Zealand,2012,Rowing,0,0,1,1
Phillipp Wende,Germany,2012,Rowing,1,0,0,1
Kristof Wilke,Germany,2012,Rowing,1,0,0,1
Rob Williams,Great Britain,2012,Rowing,0,1,0,1
Kasper Winther Jørgensen,Denmark,2012,Rowing,0,0,1,1
Jonathan Coeffic,France,2008,Rowing,0,0,1,1
Annemiek de Haan,Netherlands,2008,Rowing,0,1,0,1
Michelle Guerette,United States,2008,Rowing,0,1,0,1
Beau Hoopman,United States,2008,Rowing,0,0,1,1
Frances Houghton,Great Britain,2008,Rowing,0,1,0,1
Christiane Huth,Germany,2008,Rowing,0,1,0,1
Adam Kreek,Canada,2008,Rowing,1,0,0,1
Mike Lewis,Canada,2008,Rowing,0,0,1,1
Marcus McElhenney,United States,2008,Rowing,0,0,1,1
Alex Partridge,Great Britain,2008,Rowing,0,1,0,1
Pete Reed,Great Britain,2008,Rowing,1,0,0,1
Ben Rutledge,Canada,2008,Rowing,1,0,0,1
Meike Evers,Germany,2004,Rowing,1,0,0,1
Dana Faletic,Australia,2004,Rowing,0,0,1,1
Nienke Hommes,Netherlands,2004,Rowing,0,0,1,1
Alessio Sartori,Italy,2004,Rowing,0,0,1,1
Sébastien Vielledent,France,2004,Rowing,1,0,0,1
Bryan Volpenhein,United States,2004,Rowing,1,0,0,1
Jake Wetzel,Canada,2004,Rowing,0,1,0,1
Barney Williams,Canada,2004,Rowing,0,1,0,1
Tessa Appeldoorn,Netherlands,2000,Rowing,0,1,0,1
Darren Balmforth,Australia,2000,Rowing,0,1,0,1
Xavier Dorfmann,France,2000,Rowing,1,0,0,1
Rumyana Dzhadzharova-Neykova,Bulgaria,2000,Rowing,0,1,0,1
Thomas Ebert,Denmark,2000,Rowing,0,0,1,1
Anthony Edwards,Australia,2000,Rowing,0,1,0,1
Bo Hanson,Australia,2000,Rowing,0,0,1,1
Yves Hocdé,France,2000,Rowing,1,0,0,1
Yuliya Levina,Russia,2000,Rowing,0,0,1,1
Leonardo Pettinari,Italy,2000,Rowing,0,1,0,1
Pascal Touron,France,2000,Rowing,0,0,1,1
Jens Gaiser,Germany,2006,Nordic Combined,0,1,0,1
Antti Kuisma,Finland,2006,Nordic Combined,0,0,1,1
Hannu Manninen,Finland,2006,Nordic Combined,0,0,1,1
David Svoboda,Czech Republic,2012,Modern Pentathlon,1,0,0,1
Zsuzsa Voros,Hungary,2004,Modern Pentathlon,1,0,0,1
Wolfgang Linger,Austria,2010,Luge,1,0,0,1
Martinš Rubenis,Latvia,2006,Luge,0,0,1,1
Barbara Niedernhuber,Germany,2002,Luge,0,1,0,1
Henk Grol,Netherlands,2012,Judo,0,0,1,1
Hiroaki Hiraoka,Japan,2012,Judo,0,1,0,1
Kim Jae-Beom,South Korea,2012,Judo,1,0,0,1
Masashi Nishiyama,Japan,2012,Judo,0,0,1,1
Mika Sugimoto,Japan,2012,Judo,0,1,0,1
Choi Min-Ho,South Korea,2008,Judo,1,0,0,1
Benjamin Darbelet,France,2008,Judo,0,1,0,1
Lucie Décosse,France,2008,Judo,0,1,0,1
Abdullo Tangriyev,Uzbekistan,2008,Judo,0,1,0,1
Ayumi Tanimoto,Japan,2008,Judo,1,0,0,1
Askhat Zhitkeyev,Kazakhstan,2008,Judo,0,1,0,1
Ilse Heylen,Belgium,2004,Judo,0,0,1,1
Tamerlan Tmenov,Russia,2004,Judo,0,1,0,1
Arik Ze'evi,Israel,2004,Judo,0,0,1,1
Kate Howey,Great Britain,2000,Judo,0,1,0,1
Mark Huizinga,Netherlands,2000,Judo,1,0,0,1
Shinichi Shinohara,Japan,2000,Judo,0,1,0,1
Noriko Sugawara-Narazaki,Japan,2000,Judo,0,1,0,1
Gella Vandecaveye,Belgium,2000,Judo,0,0,1,1
Legna Verdecia,Cuba,2000,Judo,1,0,0,1
Vsevolods Zelonijs,Latvia,2000,Judo,0,0,1,1
Julie Chu,United States,2010,Ice Hockey,0,1,0,1
Tim Gleason,United States,2010,Ice Hockey,0,1,0,1
Jarkko Immonen,Finland,2010,Ice Hockey,0,0,1,1
Charlie Labonté,Canada,2010,Ice Hockey,1,0,0,1
Carla MacLeod,Canada,2010,Ice Hockey,1,0,0,1
Tuomo Ruutu,Finland,2010,Ice Hockey,0,0,1,1
Saija Sirviö,Finland,2010,Ice Hockey,0,0,1,1
Jan Bulis,Czech Republic,2006,Ice Hockey,0,0,1,1
Olli Jokinen,Finland,2006,Ice Hockey,0,1,0,1
Tomáš Kaberle,Czech Republic,2006,Ice Hockey,0,0,1,1
Niko Kapanen,Finland,2006,Ice Hockey,0,1,0,1
Aleš Kotalík,Czech Republic,2006,Ice Hockey,0,0,1,1
Jenny Lindqvist,Sweden,2006,Ice Hockey,0,1,0,1
Jenny Schmidgall-Potter,United States,2006,Ice Hockey,0,0,1,1
Kim St-Pierre,Canada,2006,Ice Hockey,1,0,0,1
Hayley Wickenheiser,Canada,2006,Ice Hockey,1,0,0,1
Annica Åhlén,Sweden,2002,Ice Hockey,0,0,1,1
Valery Bure,Russia,2002,Ice Hockey,0,0,1,1
Tricia Dunn-Luoma,United States,2002,Ice Hockey,0,1,0,1
Sergey Gonchar,Russia,2002,Ice Hockey,0,0,1,1
Paul Kariya,Canada,2002,Ice Hockey,1,0,0,1
Becky Kellar,Canada,2002,Ice Hockey,1,0,0,1
Mike Peca,Canada,2002,Ice Hockey,1,0,0,1
Chris Pronger,Canada,2002,Ice Hockey,1,0,0,1
Alex Danson,Great Britain,2012,Hockey,0,0,1,1
Moritz Fürste,Germany,2012,Hockey,1,0,0,1
Wouter Jolie,Netherlands,2012,Hockey,0,1,0,1
Fergus Kavanagh,Australia,2012,Hockey,0,0,1,1
Mark Knowles,Australia,2012,Hockey,0,0,1,1
María Mutio,Argentina,2012,Hockey,0,1,0,1
Sophie Polkamp,Netherlands,2012,Hockey,1,0,0,1
Carla Rebecchi,Argentina,2012,Hockey,0,1,0,1
Chloe Rogers,Great Britain,2012,Hockey,0,0,1,1
Robert van der Horst,Netherlands,2012,Hockey,0,1,0,1
Benjamin Weß,Germany,2012,Hockey,1,0,0,1
Christopher Zeller,Germany,2012,Hockey,1,0,0,1
Ramón Alegre,Spain,2008,Hockey,0,1,0,1
Alex Fábregas,Spain,2008,Hockey,0,1,0,1
Sole García,Argentina,2008,Hockey,0,0,1,1
Rob Hammond,Australia,2008,Hockey,0,0,1,1
Niklas Meinert,Germany,2008,Hockey,1,0,0,1
Albert Sala,Spain,2008,Hockey,0,1,0,1
Eddie Tubau,Spain,2008,Hockey,0,1,0,1
Tibor Weißenborn,Germany,2008,Hockey,1,0,0,1
Lucha Aymar,Argentina,2004,Hockey,0,0,1,1
Minke Booij,Netherlands,2004,Hockey,0,1,0,1
Dean Butler,Australia,2004,Hockey,1,0,0,1
Philipp Crone,Germany,2004,Hockey,0,0,1,1
Christoph Eimer,Germany,2004,Hockey,0,0,1,1
Bevan George,Australia,2004,Hockey,1,0,0,1
Alejandra Gulla,Argentina,2004,Hockey,0,0,1,1
Maripi Hernández,Argentina,2004,Hockey,0,0,1,1
Sylvia Karres,Netherlands,2004,Hockey,0,1,0,1
Natascha Keller,Germany,2004,Hockey,1,0,0,1
Badri Latif,Germany,2004,Hockey,1,0,0,1
Stephen Mowlam,Australia,2004,Hockey,1,0,0,1
Marion Rodewald,Germany,2004,Hockey,1,0,0,1
Ceci Rognoni,Argentina,2004,Hockey,0,0,1,1
Janneke Schopman,Netherlands,2004,Hockey,0,1,0,1
Alyson Annan,Australia,2000,Hockey,1,0,0,1
Ageeth Boomgaardt,Netherlands,2000,Hockey,0,0,1,1
Jeroen Delmeé,Netherlands,2000,Hockey,1,0,0,1
Jason Duff,Australia,2000,Hockey,0,0,1,1
María Paz Ferrari,Argentina,2000,Hockey,0,1,0,1
Jeon Jong-Ha,South Korea,2000,Hockey,0,1,0,1
Jenny Morris,Australia,2000,Hockey,1,0,0,1
Vanina Oneto,Argentina,2000,Hockey,0,1,0,1
Clarinda Sinnige,Netherlands,2000,Hockey,0,0,1,1
Remco van Wijk,Netherlands,2000,Hockey,1,0,0,1
Peter Wind,Netherlands,2000,Hockey,1,0,0,1
Luc Abalo,France,2012,Handball,1,0,0,1
Macarena Aguilar,Spain,2012,Handball,0,0,1,1
Ida Alstad,Norway,2012,Handball,1,0,0,1
Damir Bicanic,Croatia,2012,Handball,0,0,1,1
Katarina Bulatovic,Montenegro,2012,Handball,0,1,0,1
Beatriz Fernández,Spain,2012,Handball,0,0,1,1
Kari Aalvik Grimsbø,Norway,2012,Handball,1,0,0,1
Zlatko Horvat,Croatia,2012,Handball,0,0,1,1
Guillaume Joli,France,2012,Handball,1,0,0,1
Tonje Nøstvold,Norway,2012,Handball,1,0,0,1
Linn-Kristin Riegelhuth Koren,Norway,2012,Handball,1,0,0,1
Gøril Snorroeggen,Norway,2012,Handball,1,0,0,1
Ragnhild Aamodt,Norway,2008,Handball,1,0,0,1
An Jeong-Hwa,South Korea,2008,Handball,0,0,1,1
Choi Im-Jeong,South Korea,2008,Handball,0,0,1,1
Raúl Entrerríos,Spain,2008,Handball,0,0,1,1
Hreiðar Guðmundsson,Iceland,2008,Handball,0,1,0,1
Kim Cha-Yeon,South Korea,2008,Handball,0,0,1,1
Kim Nam-Sun,South Korea,2008,Handball,0,0,1,1
Cédric Paty,France,2008,Handball,1,0,0,1
Hanna Burmistrova,Ukraine,2004,Handball,0,0,1,1
Mirza Džomba,Croatia,2004,Handball,1,0,0,1
Torsten Jansen,Germany,2004,Handball,0,1,0,1
Florian Kehrmann,Germany,2004,Handball,0,1,0,1
Petar Metlicic,Croatia,2004,Handball,1,0,0,1
Oksana Raikhel,Ukraine,2004,Handball,0,0,1,1
Hanna Siukalo,Ukraine,2004,Handball,0,0,1,1
Frank von Behren,Germany,2004,Handball,0,1,0,1
Camilla Andersen,Denmark,2000,Handball,1,0,0,1
Ágnes Farkas,Hungary,2000,Handball,0,1,0,1
Igor Lavrov,Russia,2000,Handball,1,0,0,1
Johan Pettersson,Sweden,2000,Handball,0,1,0,1
Bojana Radulovics,Hungary,2000,Handball,0,1,0,1
Heidi Tjugum,Norway,2000,Handball,0,0,1,1
Krisztián Berki,Hungary,2012,Gymnastics,1,0,0,1
Kazuhito Tanaka,Japan,2012,Gymnastics,0,1,0,1
Beth Tweddle,Great Britain,2012,Gymnastics,0,0,1,1
Raj Bhavsar,United States,2008,Gymnastics,0,0,1,1
Gervasio Deferr,Spain,2008,Gymnastics,0,1,0,1
Hiroyuki Tomita,Japan,2008,Gymnastics,0,1,0,1
Dimosthenis Tambakos,Greece,2004,Gymnastics,1,0,0,1
Naoya Tsukahara,Japan,2004,Gymnastics,1,0,0,1
Guard Young,United States,2004,Gymnastics,0,1,0,1
Jeong Seong-Ryong,South Korea,2012,Football,0,0,1,1
Aya Miyama,Japan,2012,Football,0,1,0,1
Heather O'Reilly,United States,2012,Football,1,0,0,1
Park Ju-Yeong,South Korea,2012,Football,0,0,1,1
Megan Rapinoe,United States,2012,Football,1,0,0,1
Becky Sauerbrunn,United States,2012,Football,1,0,0,1
Thiago Silva,Brazil,2012,Football,0,1,0,1
Peter Odemwingie,Nigeria,2008,Football,0,1,0,1
Simone,Brazil,2008,Football,0,1,0,1
Hope Solo,United States,2008,Football,1,0,0,1
Aly Wagner,United States,2008,Football,1,0,0,1
Shannon Boxx,United States,2004,Football,1,0,0,1
Maycon,Brazil,2004,Football,0,1,0,1
Kate Sobrero-Markgraf,United States,2004,Football,1,0,0,1
Gro Espeseth,Norway,2000,Football,1,0,0,1
Steffi Jones,Germany,2000,Football,0,0,1,1
Maren Meinert,Germany,2000,Football,0,0,1,1
Tiffeny Milbrett,United States,2000,Football,0,1,0,1
Sandra Minnert,Germany,2000,Football,0,0,1,1
Pedro Reyes,Chile,2000,Football,0,0,1,1
Yevgeny Plyushchenko,Russia,2010,Figure Skating,0,1,0,1
Shen Xue,China,2006,Figure Skating,0,0,1,1
Irina Slutskaya,Russia,2006,Figure Skating,0,0,1,1
Maurizio Margaglio,Italy,2002,Figure Skating,0,0,1,1
David Pelletier,Canada,2002,Figure Skating,1,0,0,1
Li Nina,China,2010,Freestyle Skiing,0,1,0,1
Andreas Matt,Austria,2010,Freestyle Skiing,0,1,0,1
Toby Dawson,United States,2006,Freestyle Skiing,0,0,1,1
Mikko Ronkainen,Finland,2006,Freestyle Skiing,0,1,0,1
Veronica Brenner,Canada,2002,Freestyle Skiing,0,1,0,1
Alisa Camplin,Australia,2002,Freestyle Skiing,1,0,0,1
Janne Lahtela,Finland,2002,Freestyle Skiing,1,0,0,1
Benjamin Kleibrink,Germany,2012,Fencing,0,0,1,1
Oh Ha-Na,South Korea,2012,Fencing,0,0,1,1
Sofiya Velikaya,Russia,2012,Fencing,0,1,0,1
Tomasz Motyka,Poland,2008,Fencing,0,1,0,1
Diego Occhiuzzi,Italy,2008,Fencing,0,0,1,1
Boris Sanson,France,2008,Fencing,1,0,0,1
Adam Wiercioch,Poland,2008,Fencing,0,1,0,1
Gábor Boczkó,Hungary,2004,Fencing,0,1,0,1
Jérôme Jeannet,France,2004,Fencing,1,0,0,1
Cédric Séguin,France,2000,Fencing,0,1,0,1
Oksana Yermakova,Russia,2000,Fencing,1,0,0,1
Prince Abdullah Al-Saud,Saudi Arabia,2012,Equestrian,0,0,1,1
Doda,Brazil,2000,Equestrian,0,0,1,1
Jeroen Dubbeldam,Netherlands,2000,Equestrian,1,0,0,1
Rodrigo Pessoa,Brazil,2000,Equestrian,0,0,1,1
Fernando Platas,Mexico,2000,Diving,0,1,0,1
Dean Pullar,Australia,2000,Diving,0,0,1,1
Olena Zhupina,Ukraine,2000,Diving,0,0,1,1
Marco Aurelio Fontana,Italy,2012,Cycling,0,0,1,1
Chris Froome,Great Britain,2012,Cycling,0,0,1,1
Jaroslav Kulhavý,Czech Republic,2012,Cycling,1,0,0,1
Tony Martin,Germany,2012,Cycling,0,1,0,1
Aleksandr Kolobnev,Russia,2008,Cycling,0,0,1,1
Gustav Larsson,Sweden,2008,Cycling,0,1,0,1
Jens-Erik Madsen,Denmark,2008,Cycling,0,1,0,1
Vicki Pendleton,Great Britain,2008,Cycling,1,0,0,1
Luke Roberts,Australia,2004,Cycling,1,0,0,1
Laurent Gané,France,2000,Cycling,1,0,0,1
Aleksandr Vinokurov,Kazakhstan,2000,Cycling,0,1,0,1
Christoffer Svae,Norway,2010,Curling,0,1,0,1
Zhou Yan,China,2010,Curling,0,0,1,1
Binia Beeli,Switzerland,2006,Curling,0,1,0,1
Fiona MacDonald,Great Britain,2002,Curling,1,0,0,1
Torger Nergård,Norway,2002,Curling,1,0,0,1
Øystein Pettersen,Norway,2010,Cross Country Skiing,1,0,0,1
Daniel Richardsson,Sweden,2010,Cross Country Skiing,1,0,0,1
Aino-Kaisa Saarinen,Finland,2006,Cross Country Skiing,0,0,1,1
Manuela Henkel,Germany,2002,Cross Country Skiing,1,0,0,1
Christian Hoffmann,Austria,2002,Cross Country Skiing,1,0,0,1
